,jordkvalitet,kartleggingsmetode,verifiseringsdato,målemetode,nøyaktighet,fylkeid,komid
0,1,D,99990101,22,0,42,4213
1,1,D,20000817000000,82,0,42,4213
2,3,D,20000817000000,22,0,42,4213
3,1,D,20000817000000,22,0,42,4213
4,3,D,20000817000000,22,0,42,4213
5,1,D,99990101,22,0,42,4213
6,1,D,20001214000000,22,0,42,4213
7,1,D,20000817000000,22,0,42,4213
8,1,D,20000817000000,22,0,42,4213
9,2,D,20000817000000,22,0,42,4213
10,1,D,20000817000000,22,0,42,4213
11,1,D,20001214000000,22,0,42,4213
12,1,D,20000817000000,22,0,42,4213
13,2,D,20000817000000,22,0,42,4213
14,3,D,20000817000000,22,0,42,4213
15,1,D,20000817000000,22,0,42,4213
16,3,D,20000817000000,22,0,42,4213
17,1,D,20000817000000,22,0,42,4213
18,1,D,20000817000000,22,0,42,4213
19,1,D,20001214000000,22,0,42,4213
20,3,D,20001214000000,22,0,42,4213
21,1,D,20001214000000,22,0,42,4213
22,1,D,20001214000000,22,0,42,4213
23,1,D,20001214000000,22,0,42,4213
24,2,D,20001214000000,22,0,42,4213
25,1,D,20001214000000,22,0,42,4213
26,2,D,20001214000000,22,0,42,4213
27,1,D,20001214000000,22,0,42,4213
28,1,D,20001214000000,22,0,42,4213
29,1,D,20001214000000,22,0,42,4213
30,1,D,20001214000000,22,0,42,4213
31,1,D,20001214000000,22,0,42,4213
32,1,D,20001214000000,22,0,42,4213
33,1,D,20001214000000,22,0,42,4213
34,1,D,20001214000000,22,0,42,4213
35,2,D,20001214000000,22,0,42,4213
36,1,D,20001214000000,22,0,42,4213
37,2,D,20000817000000,22,0,42,4213
38,3,D,20000817000000,22,0,42,4213
39,1,D,20000817000000,22,0,42,4213
40,2,D,20000817000000,22,0,42,4213
41,1,D,20000817000000,22,0,42,4213
42,1,D,20000817000000,22,0,42,4213
43,2,D,20000817000000,22,0,42,4213
44,1,D,99990101,22,0,42,4213
45,3,D,99990101,22,0,42,4213
46,1,D,99990101,22,0,42,4213
47,2,D,99990101,22,0,42,4213
48,2,D,99990101,22,0,42,4213
49,2,D,99990101,22,0,42,4213
50,1,D,99990101,22,0,42,4213
51,1,D,99990101,22,0,42,4213
52,1,D,99990101,22,0,42,4213
53,1,D,99990101,22,0,42,4213
54,1,D,99990101,22,0,42,4213
55,1,D,99990101,22,0,42,4213
56,1,D,99990101,22,0,42,4213
57,1,D,99990101,22,0,42,4213
58,1,D,99990101,22,0,42,4213
59,1,D,99990101,22,0,42,4213
60,1,D,99990101,22,0,42,4213
61,1,D,99990101,22,0,42,4213
62,1,D,99990101,22,0,42,4213
63,2,D,99990101,22,0,42,4213
64,2,D,99990101,22,0,42,4213
65,3,D,99990101,22,0,42,4213
66,2,D,99990101,22,0,42,4213
67,2,D,99990101,22,0,42,4213
68,2,D,99990101,22,0,42,4213
69,1,D,99990101,22,0,42,4213
70,1,D,99990101,22,0,42,4213
71,1,D,99990101,22,0,42,4213
72,1,D,99990101,22,0,42,4213
73,2,D,99990101,22,0,42,4213
74,1,D,99990101,22,0,42,4213
75,1,D,99990101,22,0,42,4213
76,2,D,99990101,22,0,42,4213
77,2,D,99990101,22,0,42,4213
78,2,D,99990101,22,0,42,4213
79,1,D,99990101,22,0,42,4213
80,2,D,99990101,22,0,42,4213
81,2,D,99990101,22,0,42,4213
82,2,D,99990101,82,0,42,4213
83,2,D,99990101,22,0,42,4213
84,1,D,99990101,22,0,42,4213
85,2,D,99990101,22,0,42,4213
86,1,D,99990101,22,0,42,4213
87,2,D,99990101,22,0,42,4213
88,1,D,99990101,22,0,42,4213
89,2,D,99990101,22,0,42,4213
